Magazine,Language,Origin,Systems,Source
"Sunga Bunga",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Sunray,,,WINDOWS,
"Suomen Lista",,,"AMIGA OCS/ECS",
"Super Bubsy Review",,,MS-DOS,
"Super Chart II",,,"AMIGA OCS/ECS",
"Super Dimensions",German,Germany,"Commodore 64",CSDB
"Super Street Fighter 2 Turbo Review",,,MS-DOS,
"Superhero League Of Hoboken",,,MS-DOS,
"Surf Ninjas Review",,,MS-DOS,
"Surprise Pack",,,"AMIGA OCS/ECS",
"Surreal Electronique",,,MS-DOS,
"Survivor 64",,,"Commodore 64","Internet Archive"
"Svensk Toppen",,,"AMIGA OCS/ECS",
"Svenska Narkotikapolisföreningens c64 Tidning, SNPFCT",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Sverige Toppen, Sverigetoppen",,,"AMIGA AGA,AMIGA OCS/ECS",
"Swap & Dance Charts",,,"AMIGA OCS/ECS",
"Swap Time",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Swap'n'Crap,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Swedish Top 30",,,"AMIGA OCS/ECS",
"Swedish Trader Chart, Swedish Trader-Chart",,,"AMIGA OCS/ECS",
"Swedish Traders",,,"AMIGA OCS/ECS",
Sweet,Russian,Russia,"ZX Spectrum",ZXpress
"Sweet Dreams",,,"AMIGA OCS/ECS",
"Swierszczyk Charts",Polish,Poland,"AMIGA OCS/ECS","Demozoo,Pouet"
"Swing Review",,,MS-DOS,
"Swiss Modem Chart",,,"AMIGA OCS/ECS",
"Sword Of Honour Mini-Solve",,,MS-DOS,
Sygmapple,,,"APPLE II",
"Syndicate Docs",,,MS-DOS,
"Syndicate Net Diskmag",,,MS-DOS,
"Syntax Disk Magazine",,,"ATARI ST/E",
"Syntax Error",,,MS-DOS,
Szpryca,Polish,,"AMIGA OCS/ECS",Demozoo
TABBIG,,,"AMIGA OCS/ECS",
TAP.MAG,,,"MS-DOS,WINDOWS",
"TAQ Magazine",,,"Commodore 64",
TCE,,,MS-DOS,
"TEO Drive",,,THOMSON,
TFC-Bill,Dutch,Denmark,"AMIGA OCS/ECS",Pouet
"TGIP Games Monthly magazine",,,MS-DOS,
"TKC's Biography",,,MS-DOS,
"TLS Ranks",,,"Commodore 64",
"TMB Tribune",,,"Commodore 64",
"TNT Magazine",,,"Commodore 64",
"TPS Mag",,,"ATARI ST/E",
TRICMag,,,MS-DOS,
"TSAN Newsletter",,,MS-DOS,
TUHBZine,,,MS-DOS,
Taboo,,,"AMIGA AGA,AMIGA PPC/RTG",
"Tagan News",Russian,,"ZX Spectrum",ZXpress
Tainted,,,"Commodore 64",
"Tales from Crypt",Russian,Belarus,"ZX Spectrum",ZXpress
"Talk A Lot",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Talktime,,,"AMIGA OCS/ECS",
Tankard,,,MS-DOS,
TargeT,Russian,Belarus,"ZX Spectrum",ZXpress
"Tech Talk, Tech-Talk",,,"AMIGA OCS/ECS",
"Techno 64",English,,"Commodore 64","Internet Archive,CSDB"
"Technocratic Times",,,"AMIGA OCS/ECS",
Tega,Polish,,"Commodore 64",CSDB
"Tele 64",,,"Commodore 64",
"Teleconf. ZX-Net",Russian,Russia,"ZX Spectrum",ZXpress
"Telesfor, Telesphor",,,"AMIGA OCS/ECS",
Teleshow,Russian,Russia,"ZX Spectrum",ZXpress
"Tempest 2000 Review",,,MS-DOS,
"Ten Pin Alley Review",,,MS-DOS,
"Tequila Charts",,,"AMIGA OCS/ECS",
Terbium,,,MS-DOS,
