Magazine,Language,Origin,Systems,Source
"House Info Mag, House Information Magazine, House Information Magazine (HIM)",,,"AMIGA OCS/ECS",
"How To Code",,,"ATARI ST/E,ATARI FALCON",
"Hoyle Poker Review",,,MS-DOS,
Hugendubelexpress,,,MS-DOS,
Hugi,,,"MS-DOS,WINDOWS,AMIGA PPC/RTG,BEOS",
Hujoza,,,"AMIGA OCS/ECS",
"Humor in Exchange",Russian,Belarus,"ZX Spectrum",ZXpress
"Hybrid Christmas Magazine",,,WINDOWS,
Hydra,,,"AMIGA AGA,AMIGA OCS/ECS",
"Hype Magazine",,,MS-DOS,
Hypegy,,,"ZX Spectrum",
Hypnosis,,,"Commodore 64",
Hypnosys,,,MS-DOS,
"Hypnotic-Energy-Awesome Party Report",,,"AMIGA OCS/ECS",
"Híradó, Hirado",,,"Commodore 64",
"I'll Say No",,,"Commodore 64","Internet Archive"
"I.C.E, I.C.E.",,,"AMIGA OCS/ECS",
"ICE Weekly Newsletter",,,MS-DOS,
ICM-News,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"IFantasy magazine",,,MS-DOS,
"IM1A2 Abrams Review",,,MS-DOS,
IMAgE,,,"MS-DOS,WINDOWS",
"IaDarb Technology magazine",,,MS-DOS,
Iceland,,,"Commodore 64","Internet Archive,CSDB"
"If Tomorrow Comes",,,"Commodore 64",
Illegal,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Illegal Copy",,,"AMIGA OCS/ECS",
"Illuminatus, Illuminatus Magazine",,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Illustrator,,,MS-DOS,
"Image Magazine",,,MS-DOS,
Imazine,,,"AMIGA OCS/ECS",
"Immortal Flash",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Impact,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Imperium Galactica Review",,,MS-DOS,
Imphobia,,,MS-DOS,
Impulse,Russian,Belarus,"ZX Spectrum",ZXpress
"Impulse (Equador)",,,"Commodore 64","CSDB,Demozoo,Pouet"
"Impulse (Spirit)",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Impure!1940 amiga ascii art diskmag, Impure!Ascii, i M P U R E ! a S C I I 1 9 4 O",,,"WINDOWS,LINUX",
"In Duebus Illes",,,"AMIGA OCS/ECS",
"Inc Magazine",,,"ATARI ST/E",
Incube,,,WINDOWS,
"Indecent Proposal, Niemoralna propozycja",,,"Commodore 64",CSDB
"Independence Day Review",,,MS-DOS,
Independent,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Indianapolis 500 Dox",,,MS-DOS,
"Indy Car Racer Review",,,MS-DOS,
"Indy Mag",,,"Commodore 64",
Infamia,,,"AMIGA AGA,AMIGA OCS/ECS",
Infant,,,"AMIGA OCS/ECS",
Infection,,,"Commodore 64","Internet Archive"
Inferno,Russian,Russia,"ZX Spectrum","ZXpress,Pouet"
"Inferno Guide",Russian,Russia,"ZX Spectrum",Pouet
Infinity,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Infinity Diskmag",,,MS-DOS,
Influence,,,PAPER,Demozoo
Influx,,,"Commodore 64","Internet Archive,CSDB"
"Info Guide","Russian,English",Russia,"ZX Spectrum","ZXpress,Demozoo,Pouet"
"Info System 4",,,"Commodore 64",
Info-Corner,,,"AMIGA OCS/ECS",
Infopedia,,,MS-DOS,
Informator,,,"ATARI 8 BIT",
"Infos Time",,,"Commodore 64",
"Infused Bytes",,,"MS-DOS,MS-Dos/gus",
"Ingenious Brain",,,"Commodore 64","Internet Archive,CSDB,Pouet"
