Magazine,Language,Origin,Systems,Source
/FROZEN/ magazine,,,MS-DOS,
11th,,,MS-DOS,
17 Bit Catalogue Disk,,,AMIGA,Internet Archive
17 Bit Catalogue Disk - March/April,,,AMIGA,
20,Russian,,ZX Spectrum,ZXpress
200,Russian,Russia,ZX Spectrum,ZXpress
3 Years APS,,,Commodore 64,"Internet Archive,CSDB,Pouet"
3Bit,Russian,Ukraine,ZX Spectrum,"ZXpress,Demozoo"
3D Realms Catalog,,,MS-DOS,Internet Archive
3D Realms Catalog - June,,,MS-DOS,
3D Zine,,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
42,,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
47th Byte,Russian,Russia,ZX Spectrum,ZXpress
4th dimension,,,AMIGA OCS/ECS,
5th Dimension Licenceware Info Disk,,,AMIGA,Internet Archive
"5th Dimension Licenceware Info Disk,",,,AMIGA,
64 Times,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
64'er Magazin,,,Commodore 64,Internet Archive
64'er-Disc,,,Commodore 64,
64'er-Disc 01/90,,,Commodore 64,
6510 Madness Preview,,,Commodore 64,CSDB
688 (I) Hunter/Killer Review,,,MS-DOS,Demozoo
7 Zone,,,"MS-DOS,WINDOWS",
7Up,,,Commodore 64,"Internet Archive,CSDB,Pouet"
7th Legion Review,,,MS-DOS,
8 Ohms,,,AMIGA OCS/ECS,
8-bit Memoirs,,,Java,Pouet
A+ Disk Magazine,,,APPLE II,Internet Archive (Apple II)
A-Doggi-Dog Mag,,,MS-DOS,
A-Gate,,,AMIGA OCS/ECS,Demozoo
A-Head,,,Commodore 64,
A2 TimeOut,,,APPLE II,Internet Archive (Apple II)
ABC Pack,,,AMIGA OCS/ECS,
ACES Bits and Bytes,,,APPLE II,Internet Archive (Apple II)
ACID disk mag,,,MS-DOS,
"ACID disk mag, Acid",,,MS-DOS,"Demozoo,Pouet"
ACNews,Russian,,ZX Spectrum,"ZXpress,Demozoo,Pouet"
ACTION - Teacher's Magazin V1.0,,,ATARI ST/E,Demozoo
AH-64D Longbow Gold Review,,,MS-DOS,
AIM Lit MiniMag,,,MS-DOS,
AKMag,,,MS-DOS,
AM/FM: Amiga Musicians' Freeware Magazine,,,AMIGA,Internet Archive
AMC Magazin,,,ATARI 8 BIT,Demozoo
AMIGAzine,,,AMIGA OCS/ECS,
AMS'DEM,,,AMSTRAD CPC,
ARG-ST,,,ATARI ST/E,
ARG-ST - Issue One,,,ATARI ST/E,
ASCII eXPRESS,,,AMIGA OCS/ECS,
ATF Gold Edition Review,,,MS-DOS,Demozoo
ATM-News,,,Commodore 64,
AUG Disk Mag,,,ATARI ST/E,
AV8B Harrier Assault Review,,,MS-DOS,
"AWTB, Are We the Best?",,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Aaron Vs. Ruth Review,,,MS-DOS,
Abnormalia,,,AMIGA OCS/ECS,"Internet Archive,Demozoo,Pouet"
Above & Beyond,,,Commodore 64,CSDB
Absolute Beginners Guide,,,Commodore 64,"Internet Archive,CSDB"
Absorbance,,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Access,,,Commodore 64,"Internet Archive,CSDB,Pouet"
Acid,,,MS-DOS,
Acid In Wonderland,,,MS-DOS,Demozoo
Acid Paper,Russian,,ZX Spectrum,ZXpress
Ackernews,,,AMIGA OCS/ECS,
Action News,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Ad-Mag,,,AMIGA OCS/ECS,Demozoo
Ad-Mag Issue,,,AMIGA OCS/ECS,
Add-Vantages,,,AMIGA OCS/ECS,"Demozoo,Pouet"
Addbox,,,AMIGA OCS/ECS,
Addresses,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Addy Burger,,,Commodore 64,
"Addy Burger, Addyburger",,,Commodore 64,"Internet Archive,CSDB,Pouet"
Addy Collection,,,Commodore 64,CSDB
Addy Corner,,,Commodore 64,
Addybook,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Addybook 30th Anniversary,,,Commodore 64,
Addys,,,Commodore 64,"Internet Archive,CSDB"
Adrenalin,English,,MS-DOS,"Internet Archive,Demozoo"
Adress Unit,,,Commodore 64,"Internet Archive,CSDB"
Advanced Pirate Technology Magazine,,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Adventure Clues and Answers,,,Commodore 64,Demozoo
Adventure Guide,,,Commodore 64,
Adventurer,Russian,Russia,ZX Spectrum,"ZXpress,Demozoo,Pouet"
Adviser,English,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Adwarp,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Aesthetic,,,MS-DOS,Demozoo
Affinity,,,MS-DOS,"Demozoo,Pouet"
AfterCover,,,ATARI ST/E,
AfterCover Issue,,,ATARI ST/E,
Afterlife,,,Commodore 64,"Internet Archive,CSDB"
Aftermath,,,Commodore 64,CSDB
Aggression,,,"AMIGA AGA,AMIGA OCS/ECS","Internet Archive,Demozoo,Pouet"
Agnus,,,AMIGA OCS/ECS,
Agony,,,MS-DOS,
Agony Warez,,,Commodore 64,Internet Archive
"Ahead, A-Head",,,Commodore 64,"CSDB,Pouet"
Ahoy Magazine,,,Commodore 64,Internet Archive
Air Warrior 2 Review,,,MS-DOS,
Airline Simulator 97 Review,,,MS-DOS,
Alamakota,,,AMIGA OCS/ECS,"Demozoo,Pouet"
Albion,,,Atari ST,
Ale Jaja,,,AMIGA OCS/ECS,Demozoo
Alfa & Omega,,,AMIGA OCS/ECS,
Aliens Ahead - Experience X,,,AMIGA AGA,
Alive,,,"ATARI ST/E,ATARI FALCON,Atari ST","Demozoo,Pouet"
All Paper,Russian,,ZX Spectrum,ZXpress
Alone In The Dark 2 Solve,,,MS-DOS,Demozoo
Alpha Storm Review,,,MS-DOS,
Alt-1,,,MS-DOS,Demozoo
Alt-176,,,MS-DOS,Demozoo
Altered Reality,,,MS-DOS,"Demozoo,Pouet"
Always,Russian,Belarus,ZX Spectrum,ZXpress
Amazine,,,"ATARI ST/E,Atari ST",
Amazing,Russian,Ukraine,ZX Spectrum,ZXpress
Ambaras Pack,,,Commodore 64,"Internet Archive,Pouet"
Amber,,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Ambition,,,Commodore 64,"Internet Archive,CSDB,Demozoo,Pouet"
Amboss,English,,Commodore 64,Internet Archive
Amiga CS,,,AMIGA AGA,
Amiga Dreams,,,AMIGA OCS/ECS,
Amiga Flash,,,AMIGA OCS/ECS,"Demozoo,Pouet"
Amiga Frontier,,,AMIGA OCS/ECS,"Internet Archive,Demozoo"
Amiga Game Project,,,AMIGA OCS/ECS,
Amiga Info,Russian,,ZX Spectrum,ZXpress
Amiga News,Russian,Ukraine,ZX Spectrum,ZXpress
Amiga News - Preview,,,AMIGA OCS/ECS,
Amiga Positive,,,"AMIGA AGA,AMIGA PPC/RTG",Demozoo
Amiga Times,,,AMIGA OCS/ECS,
AmigaCS,,,AMIGA AGA,"Demozoo,Pouet"
Amigoz,Russian,Ukraine,ZX Spectrum,ZXpress
Amnesia,,,"AMIGA OCS/ECS,WINDOWS",
Amoszine,,,AMIGA,Internet Archive
