Autor_in	Lebensdaten
Georg Philipp Harsdörffer	(1607–1658)
Malwida Freiin von Meysenbug	(1816–1903)
Karl Lyncker	(1823–1855)
Johann Georg Hamann	(1730–1788)
Johann Christian Günther	(1695–1723)
Heinrich Heine	(1797–1856)
Hermann Löns	(1866–1914)
Martin(us) Hayneccius	(1545–1611)
Leopold Friedrich Günther von Goeckingk	(1748–1828)
Charlotte Birch-Pfeiffer	(1800–1868)
Karl May	(1842–1912)
Giovanni Boccaccio	(1313–1375)
Peter Altenberg	(1859–1919)
Samuel Taylor Coleridge	(1772–1834)
John Keats	(1795–1821)
Johann Georg Schmidt	(1660–1722)
Ilse Frapan	(1849–1908)
Johann von Besser	(1654–1729)
Aristophanes	(um 445 – um 385 v. Chr.)
Wilhelm Waiblinger	(1804–1830)
Paul Scheerbarth	(1863–1915)
Lena Christ	(1881–1920)
Adalbert Stifter	(1805–1868)
Paul Christian Hilscher	(1666–1730)
Otto Heinrich von Gemmingen-Hornberg	(1755–1836)
Wilhelm Meinhold	(1797–1851)
Jean de la Fontaine	(1621–1695)
Karl Timlich	(1748–1825)
Torquato Tasso	(1544–1595)
Clara Müller-Jahnke	(1860–1905)
Ludolf Wienbarg	(1802–1872)
Gustav Kadelburg	(1851–1925)
Anna Louisa Karsch	(1722–1791)
Hinrich Borkenstein	(1705–1777)
Frank Wedekind	(1864–1918)
Ferdinand Raimund	(1790–1836)
Johann Georg Jacobi	(1740–1814)
Ivan Sergeeviç Turgenev	(1818–1883)
August Wilhelm Iffland	(1759–1814)
Georg Henning Behrens	(1662–1712)
Carl Laufs	(1858–1901)
Georg Heym	(1887–1912)
Gustav Freytag	(1816–1895)
John Milton	(1608–1674)
Adelheid Wette	(1858–1916)
Aleksander (Vasilij) Sergeevič Puškin	(1799–1837)
Karl Wilhelm Ramler	(1725–1798)
Georg Philipp Harsdörffer	(1607–1658)
Malwida Freiin von Meysenbug	(1816–1903)
Karl Lyncker	(1823–1855)
Johann Georg Hamann	(1730–1788)
Johann Christian Günther	(1695–1723)
Heinrich Heine	(1797–1856)
Hermann Löns	(1866–1914)
Martin(us) Hayneccius	(1545–1611)
Leopold Friedrich Günther von Goeckingk	(1748–1828)
Charlotte Birch-Pfeiffer	(1800–1868)
Karl May	(1842–1912)
Giovanni Boccaccio	(1313–1375)
Peter Altenberg	(1859–1919)
Samuel Taylor Coleridge	(1772–1834)
John Keats	(1795–1821)
Johann Georg Schmidt	(1660–1722)
Ilse Frapan	(1849–1908)
Johann von Besser	(1654–1729)
Aristophanes	(um 445 – um 385 v. Chr.)
Wilhelm Waiblinger	(1804–1830)
Paul Scheerbarth	(1863–1915)
Lena Christ	(1881–1920)
Adalbert Stifter	(1805–1868)
Paul Christian Hilscher	(1666–1730)
Otto Heinrich von Gemmingen-Hornberg	(1755–1836)
Wilhelm Meinhold	(1797–1851)
Jean de la Fontaine	(1621–1695)
Karl Timlich	(1748–1825)
Torquato Tasso	(1544–1595)
Clara Müller-Jahnke	(1860–1905)
Ludolf Wienbarg	(1802–1872)
Gustav Kadelburg	(1851–1925)
Anna Louisa Karsch	(1722–1791)
Hinrich Borkenstein	(1705–1777)
Frank Wedekind	(1864–1918)
Ferdinand Raimund	(1790–1836)
Johann Georg Jacobi	(1740–1814)
Ivan Sergeeviç Turgenev	(1818–1883)
August Wilhelm Iffland	(1759–1814)
Georg Henning Behrens	(1662–1712)
Carl Laufs	(1858–1901)
Georg Heym	(1887–1912)
Gustav Freytag	(1816–1895)
John Milton	(1608–1674)
Adelheid Wette	(1858–1916)
Aleksander (Vasilij) Sergeevič Puškin	(1799–1837)
Karl Wilhelm Ramler	(1725–1798)
Christian Morgenstern	(1871–1914)
Hermann Essig	(1878–1918)
Georg Friedrich Daumer	(1800–1875)
Erasmus Francisci	(1627–1694)
Heinrich Julius	(1546–1613)
Wilhelm Müller	(1794–1827)
Ǧalāl o’d-din Rumi	(1207–1273)
Joseph Viktor von Scheffel	(1826–1886)
Oskar Jerschke	(1861–1928)
Nikolaus Lenau	(1802–1850)
Georg Friedrich Treitschke	(1776–1842)
Ida Boy-Ed	(1852–1928)
Luise Hensel	(1798–1876)
Heinrich Federer	(1866–1928)
Christian Hoffmann von Hoffmannswaldau	(1616–1679)
Eduard von Bauernfeld	(1802–1890)
Pierre Corneille	(1606–1689)
Eugène Scribe	(1791–1861)
