Autor_in	GND-Nummer	Bevorzugter Name	Geburtsdatum	Sterbedatum	Geschlecht	Lebensdaten
Harsdörffer, Georg Philipp	118546139	Harsdörffer, Georg Philipp	1607-11-01	1658-09-17	Männlich	(1607–1658)
Meysenbug, Malwida von	118582054	Meysenbug, Malwida von	1816-10-28	1903-04-26	Weiblich	(1816–1903)
Lyncker, Karl	139259066	Lyncker, Karl	1823-02-24	1855-05-20	Männlich	(1823–1855)
Hamann, Johann Georg	11854523X	Hamann, Johann Georg	1730-08-27	1788-06-21	Männlich	(1730–1788)
Günther, Johann Christian	11854327X	Günther, Johann Christian	1695-04-08	1723-03-15	Männlich	(1695–1723)
Heine, Heinrich	118548018	Heine, Heinrich	1797-12-13	1856-02-17	Männlich	(1797–1856)
Löns, Hermann	118573853	Löns, Hermann	1866-09-29	1914-09-26	Männlich	(1866–1914)
Hayneccius, Martin	121178609	Hayneccius, Martin	1544	1611	Männlich	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	118540084	Goeckingk, Leopold Friedrich Günther von	1748-07-13	1828-02-18	Männlich	(1748–1828)
Birch-Pfeiffer, Charlotte	118658875	Birch-Pfeiffer, Charlotte	1800-06-23	1868-08-25	Weiblich	(1800–1868)
May, Karl	118818651	May, Karl	1842-02-25	1912-03-30	Männlich	(1842–1912)
Boccaccio, Giovanni	11851217X	Boccaccio, Giovanni	1313-06-16	1375-12-21	Männlich	(1313–1375)
Altenberg, Peter	118502255	Altenberg, Peter	1859-03-09	1919-01-08	Männlich	(1859–1919)
Coleridge, Samuel Taylor	118521500	Coleridge, Samuel Taylor	1772-10-21	1834-07-25	Männlich	(1772–1834)
Keats, John	118560883	Keats, John	1795	1821	Männlich	(1795–1821)
Schmidt, Johann Georg	104278218	Schmidt, Johann Georg	1660-04	1722-03-10	Unbekannt	(1660–1722)
Frapan, Ilse	1063133041	Frapan, Ilse	1849-02-03	1908-12-02	Weiblich	(1849–1908)
Besser, Johann von	11851024X	Besser, Johann von	1654-05-08	1729-02-10	Männlich	(1654–1729)
Aristophanes	118503987	Aristophanes	-0445	-0385	Männlich	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	11862850X	Waiblinger, Wilhelm	1804-11-21	1830-01-17	Männlich	(1804–1830)
Scheerbart, Paul	118606816	Scheerbart, Paul	1863-01-08	1915-10-15	Männlich	(1863–1915)
Christ, Lena	118520555	Christ, Lena	1881-10-30	1920-06-30	Weiblich	(1881–1920)
Stifter, Adalbert	118618156	Stifter, Adalbert	1805-10-23	1868-01-28	Männlich	(1805–1868)
Hilscher, Paul Christian	120295997	Hilscher, Paul Christian	1666-03-11	1730-08-03	Männlich	(1666–1730)
Gemmingen, Otto H. von	118716778	Gemmingen, Otto H. von	1755-11-05	1836-03-03	Männlich	(1755–1836)
Meinhold, Wilhelm	118732692	Meinhold, Wilhelm	1797-02-27	1851-11-30	Männlich	(1797–1851)
La Fontaine, Jean de	11856868X	La Fontaine, Jean de	1621-07-08	1695-04-13	Männlich	(1621–1695)
Timlich, Karl	124517323	Timlich, Karl	1744	1825-02-01	Männlich	(1748–1825)
Tasso, Torquato	118620916	Tasso, Torquato	1544-03-11	1595-04-25	Männlich	(1544–1595)
Müller-Jahnke, Clara	117598127	Müller-Jahnke, Clara	1861-02-05	1905-11-04	Weiblich	(1860–1905)
Wienbarg, Ludolf	118807226	Wienbarg, Ludolf	1802-12-25	1872-01-02	Männlich	(1802–1872)
Kadelburg, Gustav	116015675	Kadelburg, Gustav	1851-07-26	1925-09-11	Männlich	(1851–1925)
Karsch, Anna Luise	118560328	Karsch, Anna Luise	1722-12-01	1791-10-12	Weiblich	(1722–1791)
Borkenstein, Hinrich	100428428	Borkenstein, Hinrich	1705-10-21	1777-11-29	Männlich	(1705–1777)
Wedekind, Frank	118629867	Wedekind, Frank	1864-07-24	1918-03-09	Männlich	(1864–1918)
Raimund, Ferdinand	118597914	Raimund, Ferdinand	1790-06-01	1836-09-05	Männlich	(1790–1836)
Jacobi, Johann Georg	118775782	Jacobi, Johann Georg	1740-09-02	1814-01-04	Männlich	(1740–1814)
Turgenev, Ivan Sergeevič	118643010	Turgenev, Ivan Sergeevič	1818-11-09	1883-09-03	Männlich	(1818–1883)
Iffland, August Wilhelm	118555324	Iffland, August Wilhelm	1759-04-19	1814-09-22	Männlich	(1759–1814)
Behrens, Georg Henning	129356883	Behrens, Georg Henning	1662-06-05	1712-01-07	Männlich	(1662–1712)
Laufs, Carl	106290916	Laufs, Carl	1858-12-20	1900-08-13	Männlich	(1858–1901)
Heym, Georg	118550683	Heym, Georg	1887-10-30	1912-01-16	Männlich	(1887–1912)
Freytag, Gustav	118535455	Freytag, Gustav	1816-07-13	1895-04-30	Männlich	(1816–1895)
Milton, John	118582607	Milton, John	1608-12-09	1674-11-10	Männlich	(1608–1674)
Wette, Adelheid	119514125	Wette, Adelheid	1858-09-04	1916-08-09	Weiblich	(1858–1916)
Puškin, Aleksandr Sergeevič	118641816	Puškin, Aleksandr Sergeevič	1799-06-06	1837-02-10	Männlich	(1799–1837)
Ramler, Karl Wilhelm	119059614	Ramler, Karl Wilhelm	1725-02-25	1798-04-11	Männlich	(1725–1798)
Harsdörffer, Georg Philipp	118546139	Harsdörffer, Georg Philipp	1607-11-01	1658-09-17	Männlich	(1607–1658)
Meysenbug, Malwida von	118582054	Meysenbug, Malwida von	1816-10-28	1903-04-26	Weiblich	(1816–1903)
Lyncker, Karl	139259066	Lyncker, Karl	1823-02-24	1855-05-20	Männlich	(1823–1855)
Hamann, Johann Georg	11854523X	Hamann, Johann Georg	1730-08-27	1788-06-21	Männlich	(1730–1788)
Günther, Johann Christian	11854327X	Günther, Johann Christian	1695-04-08	1723-03-15	Männlich	(1695–1723)
Heine, Heinrich	118548018	Heine, Heinrich	1797-12-13	1856-02-17	Männlich	(1797–1856)
Löns, Hermann	118573853	Löns, Hermann	1866-09-29	1914-09-26	Männlich	(1866–1914)
Hayneccius, Martin	121178609	Hayneccius, Martin	1544	1611	Männlich	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	118540084	Goeckingk, Leopold Friedrich Günther von	1748-07-13	1828-02-18	Männlich	(1748–1828)
Birch-Pfeiffer, Charlotte	118658875	Birch-Pfeiffer, Charlotte	1800-06-23	1868-08-25	Weiblich	(1800–1868)
May, Karl	118818651	May, Karl	1842-02-25	1912-03-30	Männlich	(1842–1912)
Boccaccio, Giovanni	11851217X	Boccaccio, Giovanni	1313-06-16	1375-12-21	Männlich	(1313–1375)
Altenberg, Peter	118502255	Altenberg, Peter	1859-03-09	1919-01-08	Männlich	(1859–1919)
Coleridge, Samuel Taylor	118521500	Coleridge, Samuel Taylor	1772-10-21	1834-07-25	Männlich	(1772–1834)
Keats, John	118560883	Keats, John	1795	1821	Männlich	(1795–1821)
Schmidt, Johann Georg	104278218	Schmidt, Johann Georg	1660-04	1722-03-10	Unbekannt	(1660–1722)
Frapan, Ilse	1063133041	Frapan, Ilse	1849-02-03	1908-12-02	Weiblich	(1849–1908)
Besser, Johann von	11851024X	Besser, Johann von	1654-05-08	1729-02-10	Männlich	(1654–1729)
Aristophanes	118503987	Aristophanes	-0445	-0385	Männlich	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	11862850X	Waiblinger, Wilhelm	1804-11-21	1830-01-17	Männlich	(1804–1830)
Scheerbart, Paul	118606816	Scheerbart, Paul	1863-01-08	1915-10-15	Männlich	(1863–1915)
Christ, Lena	118520555	Christ, Lena	1881-10-30	1920-06-30	Weiblich	(1881–1920)
Stifter, Adalbert	118618156	Stifter, Adalbert	1805-10-23	1868-01-28	Männlich	(1805–1868)
Hilscher, Paul Christian	120295997	Hilscher, Paul Christian	1666-03-11	1730-08-03	Männlich	(1666–1730)
Gemmingen, Otto H. von	118716778	Gemmingen, Otto H. von	1755-11-05	1836-03-03	Männlich	(1755–1836)
Meinhold, Wilhelm	118732692	Meinhold, Wilhelm	1797-02-27	1851-11-30	Männlich	(1797–1851)
