Autor_in	Lebensdaten
Harsdörffer, Georg Philipp	(1607–1658)
Meysenbug, Malwida von	(1816–1903)
Lyncker, Karl	(1823–1855)
Hamann, Johann Georg	(1730–1788)
Günther, Johann Christian	(1695–1723)
Heine, Heinrich	(1797–1856)
Löns, Hermann	(1866–1914)
Hayneccius, Martin	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	(1748–1828)
Birch-Pfeiffer, Charlotte	(1800–1868)
May, Karl	(1842–1912)
Boccaccio, Giovanni	(1313–1375)
Altenberg, Peter	(1859–1919)
Coleridge, Samuel Taylor	(1772–1834)
Keats, John	(1795–1821)
Schmidt, Johann Georg	(1660–1722)
Frapan, Ilse	(1849–1908)
Besser, Johann von	(1654–1729)
Aristophanes	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	(1804–1830)
Scheerbart, Paul	(1863–1915)
Christ, Lena	(1881–1920)
Stifter, Adalbert	(1805–1868)
Hilscher, Paul Christian	(1666–1730)
Gemmingen, Otto H. von	(1755–1836)
Meinhold, Wilhelm	(1797–1851)
La Fontaine, Jean de	(1621–1695)
Timlich, Karl	(1748–1825)
Tasso, Torquato	(1544–1595)
Müller-Jahnke, Clara	(1860–1905)
Wienbarg, Ludolf	(1802–1872)
Kadelburg, Gustav	(1851–1925)
Karsch, Anna Luise	(1722–1791)
Borkenstein, Hinrich	(1705–1777)
Wedekind, Frank	(1864–1918)
Raimund, Ferdinand	(1790–1836)
Jacobi, Johann Georg	(1740–1814)
Turgenev, Ivan Sergeevič	(1818–1883)
Iffland, August Wilhelm	(1759–1814)
Behrens, Georg Henning	(1662–1712)
Laufs, Carl	(1858–1901)
Heym, Georg	(1887–1912)
Freytag, Gustav	(1816–1895)
Milton, John	(1608–1674)
Wette, Adelheid	(1858–1916)
Puškin, Aleksandr Sergeevič	(1799–1837)
Ramler, Karl Wilhelm	(1725–1798)
Harsdörffer, Georg Philipp	(1607–1658)
Meysenbug, Malwida von	(1816–1903)
Lyncker, Karl	(1823–1855)
Hamann, Johann Georg	(1730–1788)
Günther, Johann Christian	(1695–1723)
Heine, Heinrich	(1797–1856)
Löns, Hermann	(1866–1914)
Hayneccius, Martin	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	(1748–1828)
Birch-Pfeiffer, Charlotte	(1800–1868)
May, Karl	(1842–1912)
Boccaccio, Giovanni	(1313–1375)
Altenberg, Peter	(1859–1919)
Coleridge, Samuel Taylor	(1772–1834)
Keats, John	(1795–1821)
Schmidt, Johann Georg	(1660–1722)
Frapan, Ilse	(1849–1908)
Besser, Johann von	(1654–1729)
Aristophanes	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	(1804–1830)
Scheerbart, Paul	(1863–1915)
Christ, Lena	(1881–1920)
Stifter, Adalbert	(1805–1868)
Hilscher, Paul Christian	(1666–1730)
Gemmingen, Otto H. von	(1755–1836)
Meinhold, Wilhelm	(1797–1851)
La Fontaine, Jean de	(1621–1695)
