Datum,CDU/CSU,SPD,FDP,Grüne,Linke,AfD,"Freie Wähler",BSW,Sonstige
06.01.2016,"38,0","23,0","5,0","10,0","10,0","8,0",,,"6,0"
13.01.2016,"38,0","23,0","5,0","10,0","10,0","9,0",,,"5,0"
19.01.2016,"37,0","23,0","5,0","10,0","9,0","10,0",,,"6,0"
27.01.2016,"36,0","24,0","5,0","10,0","10,0","10,0",,,"5,0"
03.02.2016,"36,0","24,0","5,0","10,0","9,0","10,0",,,"6,0"
10.02.2016,"36,0","24,0","5,0","10,0","9,0","10,0",,,"6,0"
17.02.2016,"35,0","23,0","6,0","11,0","10,0","9,0",,,"6,0"
24.02.2016,"35,0","24,0","6,0","10,0","10,0","10,0",,,"5,0"
02.03.2016,"35,0","24,0","6,0","10,0","10,0","9,0",,,"6,0"
09.03.2016,"35,0","23,0","6,0","11,0","9,0","10,0",,,"6,0"
16.03.2016,"35,0","22,0","7,0","10,0","10,0","11,0",,,"5,0"
22.03.2016,"35,0","20,0","6,0","13,0","8,0","13,0",,,"5,0"
30.03.2016,"36,0","20,0","7,0","13,0","8,0","10,0",,,"6,0"
06.04.2016,"35,0","21,0","7,0","13,0","8,0","10,0",,,"6,0"
13.04.2016,"34,0","21,0","7,0","14,0","9,0","10,0",,,"5,0"
20.04.2016,"34,0","21,0","7,0","13,0","9,0","11,0",,,"5,0"
27.04.2016,"33,0","22,0","8,0","13,0","9,0","10,0",,,"5,0"
03.05.2016,"34,0","21,0","8,0","13,0","9,0","9,0",,,"6,0"
11.05.2016,"34,0","21,0","8,0","13,0","9,0","10,0",,,"5,0"
17.05.2016,"34,0","19,0","7,0","14,0","9,0","11,0",,,"6,0"
24.05.2016,"33,0","20,0","6,0","14,0","9,0","12,0",,,"6,0"
01.06.2016,"34,0","21,0","6,0","13,0","9,0","10,0",,,"7,0"
08.06.2016,"34,0","21,0","7,0","13,0","10,0","10,0",,,"5,0"
15.06.2016,"33,0","21,0","6,0","13,0","10,0","11,0",,,"6,0"
21.06.2016,"33,0","21,0","6,0","13,0","9,0","11,0",,,"7,0"
28.06.2016,"34,0","22,0","6,0","12,0","9,0","10,0",,,"7,0"
06.07.2016,"35,0","21,0","6,0","13,0","10,0","9,0",,,"6,0"
13.07.2016,"36,0","23,0","6,0","12,0","9,0","8,0",,,"6,0"
20.07.2016,"35,0","22,0","7,0","12,0","9,0","9,0",,,"6,0"
27.07.2016,"35,0","22,0","6,0","13,0","9,0","9,0",,,"6,0"
03.08.2016,"35,0","23,0","6,0","12,0","9,0","9,0",,,"6,0"
10.08.2016,"36,0","21,0","5,0","13,0","10,0","9,0",,,"6,0"
17.08.2016,"36,0","21,0","6,0","13,0","9,0","9,0",,,"6,0"
24.08.2016,"35,0","22,0","6,0","12,0","9,0","10,0",,,"6,0"
31.08.2016,"33,0","22,0","6,0","12,0","9,0","12,0",,,"6,0"
07.09.2016,"33,0","22,0","7,0","12,0","8,0","12,0",,,"6,0"
14.09.2016,"32,0","23,0","6,0","11,0","8,0","13,0",,,"7,0"
21.09.2016,"33,0","23,0","6,0","11,0","8,0","13,0",,,"6,0"
28.09.2016,"33,0","23,0","6,0","10,0","9,0","14,0",,,"5,0"
05.10.2016,"33,0","22,0","6,0","11,0","10,0","13,0",,,"5,0"
12.10.2016,"34,0","22,0","6,0","11,0","10,0","12,0",,,"5,0"
19.10.2016,"34,0","22,0","6,0","11,0","9,0","12,0",,,"6,0"
26.10.2016,"35,0","22,0","6,0","11,0","9,0","12,0",,,"5,0"
02.11.2016,"34,0","22,0","7,0","11,0","10,0","11,0",,,"5,0"
09.11.2016,"34,0","23,0","6,0","11,0","10,0","11,0",,,"5,0"
16.11.2016,"35,0","23,0","6,0","11,0","10,0","10,0",,,"5,0"
23.11.2016,"36,0","23,0","5,0","10,0","10,0","10,0",,,"6,0"
30.11.2016,"37,0","22,0","5,0","10,0","9,0","11,0",,,"6,0"
07.12.2016,"36,0","22,0","6,0","11,0","10,0","10,0",,,"5,0"
14.12.2016,"37,0","21,0","6,0","10,0","9,0","11,0",,,"6,0"
20.12.2016,"36,0","22,0","6,0","10,0","9,0","11,0",,,"6,0"
28.12.2016,"38,0","20,0","5,0","10,0","9,0","12,0",,,"6,0"
04.01.2017,"37,0","21,0","6,0","10,0","9,0","12,0",,,"5,0"
11.01.2017,"37,0","20,0","6,0","10,0","9,0","12,0",,,"6,0"
18.01.2017,"38,0","21,0","6,0","9,0","9,0","11,0",,,"6,0"
