wort,hitler,trump,biden,bush,obama
a,3,7,8,0,1
aa,0,1,0,0,0
aah,0,7,0,0,0
aarp,0,0,2,2,0
aback,1,0,0,0,0
abandon,11,0,2,9,6
abandoned,14,12,8,1,1
abandoning,3,4,0,2,0
abandonment,1,0,0,2,1
abate,0,0,1,0,0
abated,0,0,1,0,0
abbas,0,0,0,1,3
abbey,0,0,1,0,0
abbot,1,0,0,0,0
abbott,0,6,0,0,0
abbottabad,0,0,0,0,1
abbreviated,0,1,0,0,0
abbreviations,0,1,0,0,0
abby,0,0,1,0,0
abc,0,19,4,0,0
abdallahs,0,0,0,0,1
abdul,0,63,0,0,0
abe,0,10,0,0,0
abernathy,0,0,0,0,1
aberration,4,0,0,0,1
abess,0,0,0,0,1
abet,2,0,0,0,0
abetting,0,0,0,1,0
abettor,2,0,0,0,0
abeyance,1,0,0,0,0
abhor,1,0,0,0,1
abhorrent,1,0,0,0,0
abhors,1,0,0,0,0
abide,0,2,1,0,6
abided,0,0,1,0,0
abides,0,0,0,0,1
abiding,1,18,0,0,2
abigail,0,0,1,0,0
ability,52,7,58,14,41
abject,3,0,0,0,0
abjuration’,1,0,0,0,0
ablaze,0,1,0,0,0
able,145,221,278,40,93
abled,0,0,0,0,1
abler,1,0,0,0,0
ablest,2,0,0,0,0
able…,0,1,0,0,0
ably,1,0,0,1,0
ablyconducted,1,0,0,0,0
abnormal,2,3,0,0,0
aboard,0,2,0,1,0
abode,4,0,0,0,0
abolish,12,25,0,0,0
abolished,11,7,0,0,0
abolishes,0,1,0,0,0
abolishing,6,7,0,0,1
abolition,15,2,0,1,0
abolitionist,0,0,0,0,1
abomination,1,0,0,0,0
aborigine,3,0,0,0,0
aborting,0,0,0,1,0
abortion,2,15,1,2,3
abortive,1,0,0,0,0
about,0,8,3,0,0
about–,0,1,0,0,0
about…,0,10,2,0,0
above,1,0,0,0,0
abraham,0,43,2,3,5
abram,0,1,0,0,0
abrams,0,30,0,0,0
abreast,2,0,0,0,0
abroad,13,9,8,28,36
abrogated,1,0,0,0,0
abrupt,1,0,0,0,0
abruptly,1,0,0,0,1
absence,2,1,0,1,9
absent,2,0,0,0,1
absentee,0,33,0,0,0
absenteeism,0,0,1,0,0
absolute,36,48,5,1,1
absolutely,42,131,14,5,24
absolutely…,0,1,0,0,0
absolutism,0,0,0,0,1
absolve,1,0,0,0,0
absolves,1,0,0,0,0
absorb,2,0,1,0,1
absorbed,0,1,0,0,0
absorbs,1,0,0,0,0
abstain,2,0,0,0,0
abstinence,0,0,0,3,0
abstract,18,0,1,0,2
absurd,36,1,0,0,0
absurdity,17,1,0,0,0
abu,0,0,0,3,0
abuja,0,0,0,1,0
abundance,5,0,0,0,1
abundant,3,0,1,0,0
abuse,6,41,12,4,18
abused,5,10,2,1,0
abuser,0,5,1,0,0
abusing,2,4,0,0,0
abusive,1,3,0,0,2
abuts,0,0,0,1,0
abyss,1,2,1,0,0
ac,0,1,0,0,0
aca,0,0,1,0,0
academia,0,1,2,1,1
academic,2,1,2,0,0
academically,1,0,0,0,0
academy,4,2,0,6,3
accelerate,0,2,17,2,7
accelerating,0,0,9,0,1
accelerator,0,0,1,0,0
accent,1,2,0,0,0
accept,27,33,10,16,28
acceptable,2,10,1,3,3
acceptance,8,2,0,1,4
accepted,33,9,2,5,4
accepting,3,2,0,3,4
accepts,1,0,2,1,2
access,0,13,75,11,32
accessed,0,0,0,0,1
accessible,2,0,4,2,2
accessing,0,0,1,0,1
accessory,1,0,0,0,0
accident,6,4,17,1,2
accidental,1,0,1,0,0
accidentally,0,0,1,0,0
acclaim,1,0,0,0,0
acclaimed,1,0,0,0,0
accolade,0,2,0,0,0
accommodate,1,0,0,0,0
accommodating,1,0,0,1,0
accommodation,2,0,0,0,1
accompanied,4,0,0,1,1
accompanies,0,0,0,0,1
accompaniment,3,0,0,0,0
accompany,1,0,1,2,2
accompanying,2,2,0,0,0
accompli,2,0,0,0,0
accomplice,3,3,0,0,0
accomplish,8,0,3,2,10
accomplished,15,8,6,8,4
accomplishing,5,2,0,0,0
accomplishment,5,4,1,6,3
accord,13,26,4,0,1
accordance,22,0,0,0,0
accorded,4,0,0,0,0
according,63,28,30,3,3
accordingly,35,0,1,0,0
account,73,12,11,50,12
accountability,0,26,3,11,7
accountable,1,32,11,6,29
accountant,0,4,1,0,3
accounted,0,0,0,4,0
accounting,1,5,8,3,1
account—to,0,0,0,0,1
account…,0,1,0,0,0
accredit,2,0,0,0,0
accredited,1,0,0,0,0
accrue,0,0,0,0,1
accrued,1,0,0,0,1
accruing,3,0,0,0,0
accumulate,1,1,1,2,0
accumulated,2,1,2,1,2
accumulates,0,0,0,1,0
accumulation,0,0,0,0,2
accuracy,3,2,0,0,1
accurate,2,40,4,0,1
accurately,6,3,1,0,2
accursed,2,0,0,0,0
accusal,0,1,0,0,0
accusation,2,1,0,0,0
accuse,0,1,0,0,0
accused,4,4,0,0,0
accuser,2,0,0,0,0
accusing,0,2,0,0,0
accustom,1,0,0,0,0
accustomed,8,0,0,0,1
ace,0,2,0,0,0
aced,0,13,0,0,0
ache,0,0,4,0,0
ached,1,0,0,0,0
achievable,0,0,3,0,4
achieve,29,8,10,26,43
achieved,47,57,1,20,11
achievement,33,22,5,24,14
achieves,1,0,1,2,0
achieving,3,0,4,3,4
achilles,0,0,1,0,0
aching,1,0,0,0,1
acid,3,2,0,1,0
acidwashed,0,1,0,0,0
