wort,hitler,trump,biden,bush,obama
abandoned,14,12,8,1,1
ability,52,7,58,14,41
able,145,221,278,40,93
abortion,2,15,1,2,3
abroad,13,9,8,28,36
absolute,36,48,5,1,1
absolutely,42,131,14,5,24
abuse,6,41,12,4,18
accept,27,33,10,16,28
acceptable,2,10,1,3,3
accepted,33,9,2,5,4
accident,6,4,17,1,2
accomplished,15,8,6,8,4
accomplishment,5,4,1,6,3
according,63,28,30,3,3
account,73,12,11,50,12
accountable,1,32,11,6,29
accounting,1,5,8,3,1
accumulated,2,1,2,1,2
achieve,29,8,10,26,43
achieved,47,57,1,20,11
achievement,33,22,5,24,14
acknowledge,10,3,12,2,17
across,5,148,146,74,114
act,74,139,145,120,133
acted,16,7,3,19,8
acting,19,12,8,9,10
action,98,45,100,52,108
active,53,5,9,11,5
actively,2,4,5,1,2
activity,110,5,8,7,6
actually,45,657,39,5,44
add,8,67,32,16,22
added,10,46,22,6,11
adding,1,4,16,4,9
addition,11,74,28,10,4
additional,4,19,59,18,23
address,10,25,34,45,63
addressing,3,2,14,5,6
adjustment,1,1,1,1,2
administration,21,376,126,45,56
administrator,2,3,8,4,3
admiration,20,1,1,1,2
admired,2,6,3,1,1
admit,19,21,6,2,6
admitted,21,19,1,3,1
adult,10,4,25,13,5
advance,15,8,21,48,24
advanced,11,7,20,10,21
advancing,3,2,7,5,4
advantage,42,65,3,10,13
advice,5,16,9,3,5
advocate,5,6,9,3,5
affair,87,10,10,3,3
affect,5,25,16,7,6
affected,16,10,11,12,8
afford,10,28,39,13,74
afraid,9,89,7,4,5
africa,3,14,22,28,35
african,5,34,2,12,24
afternoon,6,12,19,1,10
age,50,67,76,18,35
agency,1,22,35,27,15
agent,2,43,14,26,5
aggression,4,2,8,8,7
aggressive,5,9,3,13,4
ago,35,622,113,47,121
agree,6,75,31,15,90
agreed,3,26,25,8,14
agreement,8,37,36,20,48
agriculture,1,29,8,1,3
ahead,8,102,64,37,63
aid,11,10,12,45,10
aim,165,1,2,10,4
air,15,116,42,17,19
alliance,135,6,12,6,22
allow,48,188,47,39,42
allowed,38,318,14,14,28
allowing,16,39,11,12,5
allows,4,10,9,8,13
ally,46,16,95,60,74
almost,103,320,49,19,29
alone,96,85,28,19,54
along,35,236,69,30,44
alongside,1,6,14,3,3
already,124,179,128,36,117
also,322,609,326,157,314
alternative,19,4,11,15,5
always,320,414,124,50,112
amazing,6,194,11,5,11
ambition,7,1,19,18,6
ambitious,3,2,9,5,4
america,15,1214,561,524,688
american,18,1144,750,443,834
amid,8,1,2,2,5
among,220,39,66,23,30
amount,40,86,30,8,16
analysis,7,3,5,3,2
ancestor,8,10,1,1,2
ancient,20,6,2,3,5
anger,10,15,6,6,5
angry,3,69,3,3,3
anniversary,3,3,7,3,5
announce,1,34,6,7,6
announced,8,74,55,7,17
announcement,1,10,8,4,5
announcing,1,13,30,5,12
annual,1,2,5,5,5
another,178,351,136,50,104
answer,38,83,45,17,49
answered,12,4,1,4,3
answering,3,1,2,1,1
anticipated,3,6,6,2,2
anxious,7,1,5,3,2
anybody,15,398,45,2,16
anyone,27,100,61,11,32
anything,56,710,76,8,26
anywhere,4,156,13,8,12
apart,35,17,10,4,18
appeal,38,15,8,4,4
appear,40,8,1,2,2
appeared,49,4,1,1,3
applied,17,6,2,1,3
apply,10,3,4,10,15
appoint,2,14,1,3,1
appointed,12,26,7,2,6
appreciate,13,190,15,51,8
appreciated,12,3,1,1,1
approach,8,6,14,11,51
approaching,9,1,1,3,3
appropriate,3,19,11,5,2
approved,3,100,19,4,7
april,2,20,14,3,3
area,28,111,64,32,43
argue,2,1,5,8,21
argument,33,4,5,1,36
arm,38,74,27,14,25
armed,11,17,11,22,10
army,138,48,10,38,20
around,30,241,206,52,138
arrest,7,25,1,3,3
arrested,3,18,2,5,1
arrive,10,15,3,3,5
arrived,20,18,4,6,11
arrives,2,1,1,2,1
arsenal,1,2,9,2,2
art,78,4,1,1,4
article,8,21,3,1,2
artificial,6,2,4,2,1
asia,2,28,5,11,23
asian,1,16,7,1,8
aside,13,9,19,10,27
ask,21,196,62,81,74
asked,19,139,73,25,37
asking,3,71,38,8,31
asleep,1,3,1,1,1
aspect,20,5,4,5,7
assault,10,31,29,2,1
assembly,22,5,2,9,14
asset,6,15,10,9,4
assistance,21,1,42,20,17
associate,6,1,1,1,2
association,59,8,11,8,2
assume,25,24,3,5,4
assure,16,1,5,4,4
assured,24,1,3,1,1
atlantic,1,1,5,4,4
attack,82,139,79,89,54
attacked,19,55,17,11,10
attempt,108,12,6,7,8
attempted,8,4,2,2,1
attend,16,2,8,1,3
attending,7,2,4,1,1
attention,89,3,6,10,11
attitude,155,5,7,1,8
audience,18,32,11,1,12
august,18,7,13,2,9
author,16,2,2,7,1
authority,140,43,20,22,19
automobile,1,19,15,2,1
available,13,42,82,17,16
average,34,39,48,7,19
avoid,14,4,6,9,16
awarded,1,2,3,1,1
aware,15,4,5,1,7
away,65,457,77,30,91
baby,1,105,11,12,4
back,63,1553,455,74,230
backed,1,12,5,4,2
background,14,9,28,6,19
backing,5,6,2,1,1
bad,31,855,33,7,38
balance,19,5,3,9,12
ballot,2,536,12,3,14
ban,1,159,21,2,5
bank,5,71,24,16,53
banner,14,2,2,2,2
barrier,7,3,4,6,12
base,18,87,13,8,15
based,59,55,39,18,42
basic,4,9,17,26,51
basis,69,16,9,4,10
battery,2,40,20,3,8
battle,31,60,29,23,30
battlefield,13,1,10,6,9
bay,2,9,2,1,7
bear,39,18,18,6,22
beating,2,66,4,1,4
beautiful,8,532,8,2,7
became,157,77,24,7,19
become,249,156,40,12,41
becomes,41,19,5,4,9
becoming,41,20,8,6,9
bed,4,18,16,4,5
began,104,13,32,14,37
begin,36,61,45,30,76
beginning,64,105,46,27,42
begun,20,23,6,15,22
behalf,16,10,4,5,19
behind,37,149,72,46,54
being,32,9,3,7,19
belief,61,27,7,17,43
believe,79,793,122,82,239
believed,47,39,8,8,25
belong,29,33,10,1,5
belongs,18,31,1,4,6
beloved,6,12,5,2,3
bench,2,4,5,5,5
bend,1,20,1,1,7
benefit,18,18,60,44,56
benefited,6,1,1,2,2
berlin,26,4,2,6,4
best,135,358,138,73,120
betray,3,9,1,1,2
better,145,575,272,109,219
beyond,42,49,48,32,54
bias,2,3,1,1,8
big,30,1094,115,11,90
bigger,2,181,14,2,23
biggest,1,295,22,3,22
bill,2,212,262,84,129
billion,1,717,149,34,46
birthday,1,18,12,1,3
bit,4,213,43,1,12
bitter,33,2,4,1,3
black,20,87,55,1,28
blame,15,43,2,3,11
bless,2,79,61,35,74
blessed,2,2,1,7,6
blessing,13,1,1,2,7
block,1,16,17,3,9
blood,123,68,8,7,22
bloody,4,2,6,1,5
blow,25,50,3,7,11
blue,2,37,17,1,8
board,3,48,32,8,7
body,121,28,5,14,11
bold,3,9,5,3,10
bomb,2,37,4,8,9
bond,6,8,1,3,14
book,48,35,13,2,6
booming,1,3,1,1,4
border,2,1093,36,101,60
born,33,24,12,13,30
borrow,1,5,4,1,1
bos,1,19,1,1,5
bottom,2,42,50,3,13
