Wort,Trump,Hitler,Biden,Bush,Obama
abandoned,12,14,8,1,1
ability,7,52,58,14,41
able,221,145,278,40,93
abortion,15,2,1,2,3
abroad,9,13,8,28,36
absolute,48,36,5,1,1
absolutely,131,42,14,5,24
abuse,41,6,12,4,18
accept,33,27,10,16,28
acceptable,10,2,1,3,3
accepted,9,33,2,5,4
accident,4,6,17,1,2
accomplished,8,15,6,8,4
accomplishment,4,5,1,6,3
according,28,63,30,3,3
account,12,73,11,50,12
accountable,32,1,11,6,29
accounting,5,1,8,3,1
accumulated,1,2,2,1,2
achieve,8,29,10,26,43
achieved,57,47,1,20,11
achievement,22,33,5,24,14
acknowledge,3,10,12,2,17
across,148,5,146,74,114
act,139,74,145,120,133
acted,7,16,3,19,8
acting,12,19,8,9,10
action,45,98,100,52,108
active,5,53,9,11,5
actively,4,2,5,1,2
activity,5,110,8,7,6
actually,657,45,39,5,44
add,67,8,32,16,22
added,46,10,22,6,11
adding,4,1,16,4,9
addition,74,11,28,10,4
additional,19,4,59,18,23
address,25,10,34,45,63
addressing,2,3,14,5,6
adjustment,1,1,1,1,2
administration,376,21,126,45,56
administrator,3,2,8,4,3
admiration,1,20,1,1,2
admired,6,2,3,1,1
admit,21,19,6,2,6
admitted,19,21,1,3,1
adult,4,10,25,13,5
advance,8,15,21,48,24
advanced,7,11,20,10,21
advancing,2,3,7,5,4
advantage,65,42,3,10,13
advice,16,5,9,3,5
advocate,6,5,9,3,5
affair,10,87,10,3,3
affect,25,5,16,7,6
affected,10,16,11,12,8
afford,28,10,39,13,74
afraid,89,9,7,4,5
africa,14,3,22,28,35
african,34,5,2,12,24
afternoon,12,6,19,1,10
age,67,50,76,18,35
agency,22,1,35,27,15
agent,43,2,14,26,5
aggression,2,4,8,8,7
aggressive,9,5,3,13,4
ago,622,35,113,47,121
agree,75,6,31,15,90
agreed,26,3,25,8,14
agreement,37,8,36,20,48
agriculture,29,1,8,1,3
ahead,102,8,64,37,63
aid,10,11,12,45,10
aim,1,165,2,10,4
air,116,15,42,17,19
alliance,6,135,12,6,22
allow,188,48,47,39,42
allowed,318,38,14,14,28
allowing,39,16,11,12,5
allows,10,4,9,8,13
ally,16,46,95,60,74
almost,320,103,49,19,29
alone,85,96,28,19,54
along,236,35,69,30,44
alongside,6,1,14,3,3
already,179,124,128,36,117
also,609,322,326,157,314
alternative,4,19,11,15,5
