wort,hitler,biden
a,3,8
abandon,11,2
abandoned,14,8
ability,52,58
able,145,278
abortion,2,1
abroad,13,8
absolute,36,5
absolutely,42,14
absorb,2,1
abstract,18,1
abundant,3,1
abuse,6,12
abused,5,2
abyss,1,1
academic,2,2
accept,27,10
acceptable,2,1
accepted,33,2
accepts,1,2
accessible,2,4
accident,6,17
accidental,1,1
accompany,1,1
accomplish,8,3
accomplished,15,6
accomplishment,5,1
accord,13,4
according,63,30
accordingly,35,1
account,73,11
accountable,1,11
accounting,1,8
accumulate,1,1
accumulated,2,2
accurate,2,4
accurately,6,1
achieve,29,10
achieved,47,1
achievement,33,5
achieves,1,1
achieving,3,4
acknowledge,10,12
acknowledged,8,4
acknowledges,1,4
acknowledging,1,2
acquire,18,1
acquired,28,4
acquisition,19,1
across,5,146
act,74,145
acted,16,3
acting,19,8
action,98,100
active,53,9
actively,2,5
activity,110,8
actor,1,6
actual,23,5
actually,45,39
acute,2,1
adapt,3,4
adaptation,3,8
add,8,32
added,10,22
adding,1,16
addition,11,28
additional,4,59
address,10,34
addressed,10,2
addressing,3,14
adequate,15,5
adherence,3,1
adjacent,1,1
adjust,1,1
adjustment,1,1
administer,4,3
administered,5,5
administering,1,3
administration,21,126
administrator,2,8
admiration,20,1
admire,1,3
admired,2,3
admission,2,2
admit,19,6
admitted,21,1
adolescent,3,1
adopt,47,1
adopted,60,5
adult,10,25
advance,15,21
advanced,11,20
advancement,1,2
advancing,3,7
advantage,42,3
adversary,41,8
adversity,3,1
advice,5,9
advocate,5,9
advocated,2,2
afar,1,1
affair,87,10
affect,5,16
affected,16,11
affecting,5,3
afford,10,39
afforded,7,3
afraid,9,7
africa,3,22
african,5,2
afternoon,6,19
afterwards,24,8
age,50,76
aged,1,1
agency,1,35
agent,2,14
aggression,4,8
aggressive,5,3
aggressor,5,2
ago,35,113
agree,6,31
agreed,3,25
agreement,8,36
agricultural,4,3
agriculture,1,8
ahead,8,64
aid,11,12
aim,165,2
air,15,42
alarming,4,1
alert,2,4
alexander,1,1
alike,3,4
alive,11,9
alliance,135,12
allied,9,5
allotted,10,1
allow,48,47
allowed,38,14
allowing,16,11
allows,4,9
ally,46,95
almost,103,49
aloft,1,1
alone,96,28
along,35,69
alongside,1,14
already,124,128
also,322,326
alter,13,2
alternative,19,11
although,50,20
altogether,3,1
always,320,124
amazed,8,3
amazement,2,1
amazing,6,11
ambition,7,19
ambitious,3,9
ameliorate,2,1
ameliorated,2,1
america,15,561
american,18,750
amid,8,2
ammunition,3,2
among,220,66
amongst,2,1
amount,40,30
amounted,6,1
ample,3,2
analysis,7,5
ancestor,8,1
ancestral,1,1
ancient,20,2
anew,10,1
anger,10,6
angered,1,1
angry,3,3
animated,2,1
anniversary,3,7
announce,1,6
announced,8,55
announcement,1,8
announcing,1,30
annual,1,5
anonymous,2,1
another,178,136
answer,38,45
answered,12,1
answering,3,2
anticipated,3,6
antiquated,5,1
antisemitic,7,1
antisemitism,8,2
anxiety,19,6
anxious,7,5
anxiously,2,2
anybody,15,45
anyone,27,61
anything,56,76
anywhere,4,13
apart,35,10
apparent,22,2
apparently,17,6
appeal,38,8
appealed,9,1
appear,40,1
appeared,49,1
appears,18,2
applicant,2,2
application,15,4
applied,17,2
apply,10,4
appoint,2,1
appointed,12,7
appointment,2,9
appreciate,13,15
appreciated,12,1
appreciation,8,1
apprenticeship,2,3
approach,8,14
approached,4,1
approaching,9,1
appropriate,3,11
approval,2,12
approved,3,19
approximately,3,10
april,2,14
arabian,1,1
arbitrary,3,1
arch,1,3
area,28,64
arena,3,3
argue,2,5
argued,2,2
argument,33,5
arise,26,2
arm,38,27
armed,11,11
army,138,10
around,30,206
arrange,6,1
arrangement,4,2
arrest,7,1
arrested,3,2
arrival,6,1
arrive,10,3
arrived,20,4
arrives,2,1
arsenal,1,9
art,78,1
article,8,3
artificial,6,4
artificially,9,1
artillery,5,2
as,1,1
ascertain,1,1
ashamed,7,1
asia,2,5
asian,1,7
aside,13,19
ask,21,62
asked,19,73
asking,3,38
asleep,1,1
aspect,20,4
aspiration,9,2
ass,3,8
assailant,2,1
assault,10,29
assembled,5,1
assembly,22,2
assert,8,2
asserted,7,2
asserting,1,1
assertion,4,1
asset,6,10
assigned,15,2
assist,5,3
assistance,21,42
assisted,1,1
associate,6,1
associated,6,8
association,59,11
assume,25,3
assumption,7,3
assure,16,5
assured,24,3
assuring,4,1
astonishing,5,1
astounding,3,3
asylum,2,3
athlete,1,1
atlantic,1,5
attached,21,2
attack,82,79
attacked,19,17
attacker,2,1
attacking,8,9
attained,17,2
attempt,108,6
attempted,8,2
attempting,4,3
attend,16,8
attended,12,3
attending,7,4
attends,1,1
attention,89,6
attitude,155,7
attract,16,3
attracted,5,1
attributed,29,1
audience,18,11
august,18,13
author,16,2
authority,140,20
autocrat,1,6
automobile,1,15
auxiliary,3,2
avail,6,1
available,13,82
average,34,48
avert,1,2
averted,3,4
avoid,14,6
awarded,1,3
aware,15,5
awareness,2,2
away,65,77
awful,1,33
b,4,8
baby,1,11
back,63,455
backbone,4,17
backed,1,5
background,14,28
backing,5,2
backward,2,2
backwards,1,4
bad,31,33
badge,6,1
badly,3,13
balance,19,3
ballot,2,12
ban,1,21
bank,5,24
banker,1,2
banner,14,2
bar,1,3
barbaric,2,1
barbarism,2,2
bare,9,3
bargain,4,3
bargaining,3,3
barrel,1,11
barrier,7,4
base,18,13
based,59,39
basic,4,17
basing,1,1
basis,69,9
battalion,12,2
battery,2,20
battle,31,29
battlefield,13,10
bay,2,2
bear,39,18
beat,1,35
beaten,4,5
beating,2,4
beautiful,8,8
became,157,24
become,249,40
becomes,41,5
becoming,41,8
bed,4,16
beforehand,8,1
beg,3,2
began,104,32
begin,36,45
beginning,64,46
begun,20,6
behalf,16,4
behind,37,72
being,32,3
belief,61,7
believe,79,122
believed,47,8
believer,2,1
believing,6,9
belittle,1,1
bell,1,2
belong,29,10
belongs,18,1
beloved,6,5
bench,2,5
bend,1,1
bending,1,1
benefactor,3,1
benefit,18,60
benefited,6,1
bent,5,1
bereft,1,1
berlin,26,2
besides,6,2
best,135,138
betray,3,1
better,145,272
beyond,42,48
bias,2,1
biblical,1,2
bickering,1,1
bidding,2,1
big,30,115
bigger,2,14
biggest,1,22
bill,2,262
billed,1,1
billion,1,149
bind,5,1
birthday,1,12
bit,4,43
bitter,33,4
black,20,55
blame,15,2
blanket,1,2
bless,2,61
blessed,2,1
blessing,13,1
blew,1,2
block,1,17
blood,123,8
bloody,4,6
blow,25,3
blue,2,17
bluff,1,1
blunt,1,5
board,3,32
body,121,5
bold,3,5
bomb,2,4
bombardment,5,1
bond,6,1
bone,2,1
book,48,13
booming,1,1
border,2,36
bore,7,4
boring,1,1
born,33,12
borrow,1,4
borrowing,1,2
bos,1,1
bottle,1,2
bottom,2,50
bought,5,6
bound,67,5
boundary,6,2
bountiful,1,1
bow,6,2
boy,42,15
brain,46,7
branch,29,3
brand,3,1
brave,6,16
bravely,1,4
breach,3,3
break,37,36
breakdown,2,1
breaking,9,7
