wort,hitler,obama
a,3,1
abandon,11,6
abandoned,14,1
abandonment,1,1
aberration,4,1
abhor,1,1
abiding,1,2
ability,52,41
able,145,93
abolishing,6,1
abortion,2,3
abroad,13,36
abruptly,1,1
absence,2,9
absent,2,1
absolute,36,1
absolutely,42,24
absorb,2,1
abstract,18,2
abundance,5,1
abuse,6,18
abusive,1,2
academy,4,3
accept,27,28
acceptable,2,3
acceptance,8,4
accepted,33,4
accepting,3,4
accepts,1,2
accessible,2,2
accident,6,2
accommodation,2,1
accompanied,4,1
accompany,1,2
accomplish,8,10
accomplished,15,4
accomplishment,5,3
accord,13,1
according,63,3
account,73,12
accountable,1,29
accounting,1,1
accrued,1,1
accumulated,2,2
accuracy,3,1
accurate,2,1
accurately,6,2
accustomed,8,1
achieve,29,43
achieved,47,11
achievement,33,14
achieving,3,4
aching,1,1
acknowledge,10,17
acknowledged,8,1
acknowledging,1,3
acknowledgment,2,3
acquired,28,1
acquiring,11,1
across,5,114
act,74,133
acted,16,8
acting,19,10
action,98,108
active,53,5
actively,2,2
activity,110,6
actual,23,3
actually,45,44
acute,2,1
adapt,3,8
add,8,22
added,10,11
adding,1,9
addition,11,4
additional,4,23
address,10,63
addressed,10,2
addressing,3,6
adequate,15,1
adequately,7,2
adhere,1,4
adherent,41,1
adjustment,1,2
administer,4,1
administered,5,3
administration,21,56
administrative,9,3
administrator,2,3
admiration,20,2
admire,1,4
admired,2,1
admit,19,6
admitted,21,1
admittedly,4,2
admitting,1,2
adopt,47,3
adoption,11,1
adoration,2,1
adult,10,5
advance,15,24
advanced,11,21
advancement,1,3
advancing,3,4
advantage,42,13
advent,1,1
adversary,41,8
adversity,3,3
advice,5,5
advise,1,3
advocate,5,5
affair,87,3
affect,5,6
affected,16,8
affection,5,1
affirmative,3,1
afford,10,74
afforded,7,2
afraid,9,5
africa,3,35
african,5,24
afternoon,6,10
afterwards,24,1
age,50,35
agency,1,15
agent,2,5
aggression,4,7
aggressive,5,4
aggressor,5,1
agitator,20,1
ago,35,121
agree,6,90
agreed,3,14
agreement,8,48
agriculture,1,3
ahead,8,63
aid,11,10
aim,165,4
aimed,7,1
air,15,19
alarm,4,1
alienating,1,1
alike,3,8
alive,11,9
alleged,1,3
allegiance,2,8
alliance,135,22
allow,48,42
allowance,3,1
allowed,38,28
allowing,16,5
allows,4,13
ally,46,74
almost,103,29
alone,96,54
along,35,44
alongside,1,3
already,124,117
also,322,314
alter,13,1
alternative,19,5
although,50,17
altogether,3,5
always,320,112
amassed,1,2
amazing,6,11
ambiguity,1,1
ambition,7,6
ambitious,3,4
amends,3,1
america,15,688
american,18,834
amid,8,5
amidst,2,5
ammunition,3,2
among,220,30
amount,40,16
ample,3,1
amply,1,1
analysis,7,2
ancestor,8,2
ancestral,1,1
ancient,20,5
anew,10,6
anger,10,5
angry,3,3
anguish,1,3
anniversary,3,5
announce,1,6
announced,8,17
announcement,1,5
announcing,1,12
annual,1,5
another,178,104
answer,38,49
answered,12,3
answering,3,1
antagonism,2,1
anthem,3,3
anticipated,3,2
antisemitism,8,3
anxiety,19,8
anxious,7,2
anybody,15,16
anyone,27,32
anything,56,26
anywhere,4,12
apart,35,18
apparently,17,2
appeal,38,4
appealing,3,1
appear,40,2
appearance,34,1
appeared,49,3
appears,18,1
applause,4,10
application,15,5
applied,17,3
applies,13,4
apply,10,15
applying,3,2
appoint,2,1
appointed,12,6
appointment,2,1
appreciate,13,8
appreciated,12,1
appreciation,8,5
apprenticeship,2,4
approach,8,51
approached,4,2
approaching,9,3
appropriate,3,2
approve,2,4
approved,3,7
april,2,3
apt,5,1
arabian,1,4
arbitrary,3,9
arch,1,1
architecture,11,4
ardently,2,1
area,28,43
arena,3,2
argue,2,21
argued,2,7
argument,33,36
arise,26,1
aristocracy,3,1
arm,38,25
armed,11,10
army,138,20
arose,14,1
around,30,138
arrange,6,1
arranged,8,1
arrangement,4,2
arrest,7,3
arrested,3,1
arrive,10,5
arrived,20,11
arrives,2,1
arsenal,1,2
art,78,4
article,8,2
artificial,6,1
artist,10,1
ascendant,3,1
asia,2,23
asian,1,8
aside,13,27
ask,21,74
asked,19,37
asking,3,31
asleep,1,1
aspect,20,7
aspiration,9,23
assault,10,1
assembled,5,2
assembly,22,14
asset,6,4
assigned,15,1
assimilation,4,1
assist,5,1
assistance,21,17
associate,6,2
associated,6,2
association,59,2
assume,25,4
assumption,7,3
assurance,3,1
assure,16,4
assured,24,1
assuring,4,1
astonishing,5,2
astonishment,4,1
asunder,7,5
athlete,1,1
atlantic,1,4
atmosphere,12,3
attached,21,1
attack,82,54
attacked,19,10
attempt,108,8
attempted,8,1
attend,16,3
attendance,7,1
attending,7,1
attention,89,11
attitude,155,8
attract,16,6
attraction,5,1
attractive,6,2
attracts,8,2
attributed,29,1
audience,18,12
august,18,9
author,16,1
authority,140,19
autocrat,1,1
automatic,1,1
automatically,7,2
automobile,1,1
autumn,14,1
available,13,16
avalanche,2,1
average,34,19
averse,1,1
avert,1,2
avoid,14,16
avoided,5,2
avoiding,6,4
avoids,1,1
awaits,1,5
awake,1,1
awarded,1,1
aware,15,7
away,65,91
awful,1,3
b,4,3
baby,1,4
back,63,230
backbone,4,1
backed,1,2
background,14,19
backing,5,1
backward,2,1
backwards,1,8
bad,31,38
badly,3,11
balance,19,12
balkan,5,4
ballot,2,14
ban,1,5
band,11,1
bandit,3,1
banish,1,1
banished,3,1
bank,5,53
banker,1,3
banner,14,2
bar,1,5
barely,5,8
bargain,4,12
bargaining,3,6
barrel,1,3
barricade,1,1
barrier,7,12
base,18,15
based,59,42
basest,2,1
basic,4,51
basing,1,1
basis,69,10
baton,1,1
battalion,12,1
battered,1,3
battery,2,8
battle,31,30
battlefield,13,9
battleship,1,1
bay,2,7
be,1,2
bear,39,22
bearer,2,1
bearing,10,1
beat,1,11
beaten,4,3
beating,2,4
beautiful,8,7
beauty,14,1
became,157,19
become,249,41
becomes,41,9
becoming,41,9
bed,4,5
beg,3,1
began,104,37
begin,36,76
beginning,64,42
begun,20,22
behalf,16,19
behind,37,54
being,32,19
belgium,1,2
belief,61,43
believe,79,239
believed,47,25
believer,2,2
believing,6,2
belong,29,5
belonged,23,1
belonging,24,1
belongs,18,6
beloved,6,3
bench,2,5
bend,1,7
beneath,7,7
beneficial,9,1
benefit,18,56
benefited,6,2
bent,5,3
berlin,26,4
beside,10,1
best,135,120
bestowed,6,1
betray,3,2
betrayal,6,3
betraying,2,1
betrays,4,3
better,145,219
beyond,42,54
bias,2,8
bickering,1,2
big,30,90
bigger,2,23
biggest,1,22
bill,2,129
billion,1,46
bind,5,6
binding,2,1
birth,11,7
birthday,1,3
birthplace,1,1
bit,4,12
bitter,33,3
black,20,28
blame,15,11
blamed,1,1
bled,4,2
bless,2,74
blessed,2,6
blessing,13,7
blind,20,15
blinded,5,2
block,1,9
blood,123,22
bloody,4,5
blow,25,11
blue,2,8
blunted,1,1
bluntly,1,2
board,3,7
body,121,11
boisterous,1,1
bold,3,10
bomb,2,9
bond,6,14
bondage,1,1
bone,2,2
book,48,6
booming,1,4
border,2,60
bore,7,1
born,33,30
borne,13,10
borrow,1,1
borrowed,3,1
borrowing,1,4
bos,1,5
bottom,2,13
bought,5,9
bound,67,14
boundary,6,6
boundless,2,2
bout,1,1
boy,42,14
bracket,1,2
brain,46,4
branch,29,2
brand,3,3
brave,6,15
bravely,1,2
brazen,2,1
brazenly,1,1
breadth,1,1
break,37,52
breaking,9,3
breast,2,3
breath,3,3
breeding,8,1
brick,2,5
bridge,2,42
bridged,4,1
brief,2,5
briefly,9,3
bright,1,4
brightest,1,3
brilliant,14,2
bring,86,79
bringing,27,18
brings,16,15
brink,2,7
britain,84,1
british,74,5
broad,83,14
broadened,1,1
broader,1,21
broadly,1,2
broke,29,10
broken,40,29
brother,3,23
brought,79,33
brunt,4,1
brush,1,1
brutal,21,3
brutality,5,1
brutalized,1,1
brute,7,1
budget,1,71
build,17,111
building,49,56
built,14,73
bull,1,1
bullet,4,9
bully,1,2
burden,14,40
burdened,5,4
bureaucrat,1,3
bureaucratic,3,1
buried,3,3
burn,2,2
burning,4,2
burst,8,1
business,42,338
busy,8,5
buy,2,31
buying,2,12
cabinet,11,2
calculation,7,1
call,76,67
called,112,45
calling,17,8
callously,1,1
came,122,67
camp,20,4
campaign,31,38
canal,2,2
cancel,1,1
cancer,1,20
candidate,4,13
candle,1,1
cannot,184,120
cap,3,7
capability,13,11
capable,70,2
capacity,37,38
capital,32,14
captain,2,1
capture,1,6
captured,1,4
car,1,45
card,4,16
care,26,259
cared,4,3
career,18,24
careful,13,4
carefully,27,7
caring,3,4
carried,83,17
carry,64,21
carrying,20,4
case,252,38
cast,11,15
cat,5,1
catastrophe,21,5
catch,2,7
catching,2,2
category,6,1
catholic,24,2
caucus,1,5
caught,2,5
cause,157,50
caused,23,7
caution,1,1
ceding,2,2
celebrate,2,8
celebrated,1,2
celebration,4,4
cell,6,8
cement,3,1
cent,8,3
central,32,20
century,65,105
ceremony,3,3
certain,239,39
certainly,55,13
certainty,3,9
chain,6,2
chair,5,3
chairman,21,5
chamber,10,35
champion,42,2
championed,8,2
chance,38,106
chancellor,7,1
change,79,240
changed,19,24
changing,9,11
channel,2,2
chant,1,3
chaos,6,4
chaotic,1,2
chapter,4,13
character,143,24
charge,12,16
charged,2,11
charitable,3,2
chauvinism,2,1
cheap,5,2
cheaper,1,6
cheapest,1,2
check,7,24
cheer,1,2
cheering,2,1
cherish,1,3
cherished,4,3
chief,41,13
child,63,269
childhood,4,9
childish,3,1
china,1,34
chinese,1,3
choice,10,77
choose,10,60
chooses,5,2
chorus,1,2
chose,10,6
chosen,35,6
christ,1,1
christian,21,17
christianity,6,1
christmas,1,2
church,36,29
circle,95,3
circuit,1,3
circumstance,57,14
circus,11,1
cited,1,1
citizen,67,135
citizenship,11,23
city,77,41
civic,11,3
civil,33,44
civilian,3,35
claim,26,25
claimed,4,10
claiming,2,1
clash,5,3
class,165,81
classified,5,1
clean,1,72
cleanup,1,3
clear,83,100
cleared,4,1
clearest,2,2
clearing,1,1
clearly,58,8
clergy,11,3
clerk,3,1
client,2,2
climate,6,35
climb,2,7
cling,4,1
close,27,39
closed,4,14
closely,7,4
closer,10,9
closing,1,5
clothed,1,1
clothes,9,1
cloud,1,5
club,6,1
coal,5,9
coalition,25,23
coarse,1,1
coast,2,14
coastline,1,3
code,6,29
coercion,3,2
cohesion,3,2
cold,9,17
collaborate,3,1
collaboration,8,2
collapse,69,5
collapsed,6,4
collapsing,1,1
collateral,1,1
colleague,3,10
collect,5,3
collected,2,2
collection,4,4
collective,2,13
college,4,145
colonial,24,1
colonized,1,1
colony,18,3
columbus,2,1
combat,12,35
combatant,6,1
combating,3,4
combine,6,2
combined,13,4
come,186,280
comfortable,2,3
coming,27,58
command,16,2
commander,3,4
commemorate,1,1
commence,1,1
comment,1,2
commerce,11,18
commercial,39,2
commission,2,16
commit,5,12
commits,3,1
committed,19,23
committee,37,10
committing,1,2
common,109,97
commonsense,1,16
communication,3,2
communist,9,1
community,109,176
compact,3,3
company,19,191
comparable,5,1
compare,11,1
compared,20,5
compassionate,1,3
compelled,13,1
compensate,1,1
compete,5,28
competent,10,3
competition,5,30
competitive,1,18
competitor,3,6
complacent,1,2
complain,9,1
complaint,4,4
complete,42,20
completed,11,5
completely,56,3
completes,2,1
completing,1,2
complex,2,9
composed,24,1
compound,1,8
comprehend,1,2
comprehensive,8,30
compromise,9,21
comrade,29,3
concede,1,1
conceivable,7,1
concentrate,12,3
concentrated,16,3
concept,38,7
concern,22,33
concerned,42,7
concert,1,3
concession,9,3
concise,2,1
conclude,4,2
concluded,7,1
conclusion,29,3
concord,1,3
concrete,4,7
condemn,4,3
condemnation,2,2
condemned,9,2
condemning,1,1
condemns,1,1
condition,173,32
conduct,53,8
conducted,16,3
conducting,6,2
conference,3,8
conferred,1,1
confess,2,1
confidence,28,40
confident,3,22
confined,7,1
confirm,7,3
confirmation,3,3
confirmed,8,3
confiscated,1,1
conflict,62,55
confront,1,17
confronted,11,5
confronting,2,3
confused,8,2
confusion,12,1
congested,1,1
congo,1,1
congratulation,1,3
congress,3,213
connected,16,9
connecting,1,6
connection,28,5
conquer,8,4
conscience,18,7
conscious,18,2
consensus,1,13
consent,8,4
consequence,88,21
conservative,8,4
consider,56,26
considerable,6,2
consideration,64,1
considered,99,5
considers,10,1
consistent,5,8
consistently,1,2
consolidate,6,3
conspiracy,4,1
constant,18,17
