wort,hitler,trump
a,3,7
abandoned,14,12
abandoning,3,4
abiding,1,18
ability,52,7
able,145,221
abnormal,2,3
abolish,12,25
abolished,11,7
abolishing,6,7
abolition,15,2
abortion,2,15
abroad,13,9
absence,2,1
absolute,36,48
absolutely,42,131
absurd,36,1
absurdity,17,1
abuse,6,41
abused,5,10
abusing,2,4
abusive,1,3
abyss,1,2
academic,2,1
academy,4,2
accent,1,2
accept,27,33
acceptable,2,10
acceptance,8,2
accepted,33,9
accepting,3,2
accident,6,4
accompanying,2,2
accomplice,3,3
accomplished,15,8
accomplishing,5,2
accomplishment,5,4
accord,13,26
according,63,28
account,73,12
accountable,1,32
accounting,1,5
accumulate,1,1
accumulated,2,1
accuracy,3,2
accurate,2,40
accurately,6,3
accusation,2,1
accused,4,4
achieve,29,8
achieved,47,57
achievement,33,22
acid,3,2
acknowledge,10,3
acknowledged,8,6
acknowledges,1,1
acknowledging,1,2
across,5,148
act,74,139
acted,16,7
acting,19,12
action,98,45
active,53,5
actively,2,4
activity,110,5
actor,1,6
actual,23,13
actually,45,657
add,8,67
added,10,46
adding,1,4
addition,11,74
additional,4,19
address,10,25
addressing,3,2
adhere,1,1
adjusting,3,1
adjustment,1,1
administered,5,3
administration,21,376
administrator,2,3
admiration,20,1
admired,2,6
admission,2,6
admit,19,21
admits,3,5
admitted,21,19
admitting,1,3
adult,10,4
advance,15,8
advanced,11,7
advancing,3,2
advantage,42,65
adventure,5,1
adversary,41,3
advertisement,8,2
advice,5,16
advised,2,1
advisory,1,1
advocate,5,6
afar,1,2
affair,87,10
affect,5,25
affected,16,10
affection,5,1
affirmative,3,1
afflicted,2,2
afford,10,28
afforded,7,1
afraid,9,89
africa,3,14
african,5,34
afternoon,6,12
afterwards,24,6
age,50,67
agency,1,22
agent,2,43
aggravated,2,1
aggression,4,2
aggressive,5,9
agitated,1,9
agitation,6,1
agitator,20,2
ago,35,622
agree,6,75
agreed,3,26
agreement,8,37
agricultural,4,8
agriculture,1,29
ahead,8,102
aid,11,10
aim,165,1
aiming,4,1
air,15,116
alarm,4,1
alcohol,1,3
alien,22,174
alive,11,18
alleged,1,1
allegiance,2,6
alliance,135,6
allied,9,1
allimportant,1,1
allow,48,188
allowed,38,318
allowing,16,39
allows,4,10
ally,46,16
almighty,6,1
almost,103,320
alone,96,85
along,35,236
alongside,1,6
already,124,179
also,322,609
altered,10,3
alternative,19,4
although,50,50
altogether,3,1
always,320,414
amassed,1,1
amazed,8,7
amazing,6,194
